approach,system,steps,min_total_core,max_total_core,resources,classes,sla
BNV1-4.0,system_1,5,110.0,110.0,10,12,300.0
BNV1-2.0,system_1,8,70.0,70.0,10,12,300.0
BNV1-1.0,system_1,22,59.0,59.0,10,12,300.0
BNV1-0.5,system_1,45,57.5,57.5,10,12,300.0
BNV2-2.0,system_1,18,59.5,62.0,10,12,300.0
BNV2-4.0,system_1,8,70.8,82.0,10,12,300.0
BNV2-1.0,system_1,30,56.5,59.0,10,12,300.0
AMPL,system_1,0,51.76,0,10,12,300.0
BNV1-4.0,system_2,10,138.0,138.0,10,12,300.0
BNV1-2.0,system_2,25,126.0,126.0,10,12,300.0
BNV1-1.0,system_2,54,126.0,126.0,10,12,300.0
BNV1-0.5,system_2,113,126.1,126.1,10,12,300.0
BNV2-2.0,system_2,50,112.8,126.0,10,12,300.0
BNV2-4.0,system_2,26,116.5,130.0,10,12,300.0
BNV2-1.0,system_2,73,113.6,124.0,10,12,300.0
AMPL,system_2,0,100.66,0,10,12,300.0
BNV1-4.0,system_3,4,110.0,110.0,10,12,300.0
BNV1-2.0,system_3,11,86.0,86.0,10,12,300.0
BNV1-1.0,system_3,29,87.0,87.0,10,12,300.0
BNV1-0.5,system_3,58,85.9,85.9,10,12,300.0
BNV2-2.0,system_3,17,84.5,88.0,10,12,300.0
BNV2-4.0,system_3,14,85.0,94.0,10,12,300.0
BNV2-1.0,system_3,34,84.0,87.0,10,12,300.0
AMPL,system_3,0,74.45,0,10,12,300.0
BNV1-4.0,system_4,6,126.0,126.0,10,12,300.0
BNV1-2.0,system_4,11,88.0,88.0,10,12,300.0
BNV1-1.0,system_4,25,86.0,86.0,10,12,300.0
BNV1-0.5,system_4,49,84.5,84.5,10,12,300.0
BNV2-2.0,system_4,16,85.0,88.0,10,12,300.0
BNV2-4.0,system_4,12,87.0,94.0,10,12,300.0
BNV2-1.0,system_4,27,85.0,85.0,10,12,300.0
AMPL,system_4,0,79.20,0,10,12,300.0
BNV1-4.0,system_5,4,90.0,90.0,10,12,300.0
BNV1-2.0,system_5,5,58.0,58.0,10,12,300.0
BNV1-1.0,system_5,10,46.0,46.0,10,12,300.0
BNV1-0.5,system_5,19,46.5,46.5,10,12,300.0
BNV2-2.0,system_5,6,49.0,52.0,10,12,300.0
BNV2-4.0,system_5,10,58.8,74.0,10,12,300.0
BNV2-1.0,system_5,15,45.0,48.0,10,12,300.0
AMPL,system_5,0,42.13,0,10,12,300.0
BNV1-4.0,system_6,9,106.0,106.0,10,12,300.0
BNV1-2.0,system_6,15,82.0,82.0,10,12,300.0
BNV1-1.0,system_6,30,81.0,81.0,10,12,300.0
BNV1-0.5,system_6,60,77.3,77.3,10,12,300.0
BNV2-2.0,system_6,19,74.7,80.0,10,12,300.0
BNV2-4.0,system_6,20,74.3,94.0,10,12,300.0
BNV2-1.0,system_6,42,77.5,81.0,10,12,300.0
AMPL,system_6,0,64.11,0,10,12,300.0
BNV1-4.0,system_7,9,106.0,106.0,10,12,300.0
BNV1-2.0,system_7,15,82.0,82.0,10,12,300.0
BNV1-1.0,system_7,30,81.0,81.0,10,12,300.0
BNV1-0.5,system_7,60,77.3,77.3,10,12,300.0
BNV2-2.0,system_7,19,74.7,80.0,10,12,300.0
BNV2-4.0,system_7,20,74.3,94.0,10,12,300.0
BNV2-1.0,system_7,42,77.5,81.0,10,12,300.0
AMPL,system_7,0,64.11,0,10,12,300.0
BNV1-4.0,system_8,9,106.0,106.0,10,12,300.0
BNV1-2.0,system_8,15,82.0,82.0,10,12,300.0
BNV1-1.0,system_8,30,81.0,81.0,10,12,300.0
BNV1-0.5,system_8,60,77.3,77.3,10,12,300.0
BNV2-2.0,system_8,19,74.7,80.0,10,12,300.0
BNV2-4.0,system_8,20,74.3,94.0,10,12,300.0
BNV2-1.0,system_8,42,77.5,81.0,10,12,300.0
AMPL,system_8,0,64.11,0,10,12,300.0
BNV1-4.0,system_9,5,98.0,98.0,10,12,300.0
BNV1-2.0,system_9,12,80.0,80.0,10,12,300.0
BNV1-1.0,system_9,27,81.0,81.0,10,12,300.0
BNV1-0.5,system_9,53,78.9,78.9,10,12,300.0
BNV2-2.0,system_9,21,75.6,82.0,10,12,300.0
BNV2-4.0,system_9,13,75.1,86.0,10,12,300.0
BNV2-1.0,system_9,33,74.8,79.0,10,12,300.0
AMPL,system_9,0,65.56,0,10,12,300.0
BNV1-4.0,system_10,5,98.0,98.0,10,12,300.0
BNV1-2.0,system_10,12,80.0,80.0,10,12,300.0
BNV1-1.0,system_10,27,81.0,81.0,10,12,300.0
BNV1-0.5,system_10,53,78.9,78.9,10,12,300.0
BNV2-2.0,system_10,21,75.6,82.0,10,12,300.0
BNV2-4.0,system_10,13,75.1,86.0,10,12,300.0
BNV2-1.0,system_10,33,74.8,79.0,10,12,300.0
AMPL,system_10,0,65.56,0,10,12,300.0
BNV1-4.0,system_11,5,98.0,98.0,10,12,300.0
BNV1-2.0,system_11,12,80.0,80.0,10,12,300.0
BNV1-1.0,system_11,27,81.0,81.0,10,12,300.0
BNV1-0.5,system_11,53,78.9,78.9,10,12,300.0
BNV2-2.0,system_11,21,75.7,82.0,10,12,300.0
BNV2-4.0,system_11,13,75.1,86.0,10,12,300.0
BNV2-1.0,system_11,33,74.8,79.0,10,12,300.0
AMPL,system_11,0,65.56,0,10,12,300.0
BNV1-4.0,system_12,7,118.0,118.0,10,12,300.0
